date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:01	7464/7464	---M--	200	added ('OK')	image/png	etag:%2259d4a160-1d28%22	http://demo.themefisher.com/iamabdus/eden/images/home/author1.png	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/home/author1.png	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:05	40313/40313	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-9d79%22	http://demo.themefisher.com/iamabdus/eden/images/home/event-img2.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/home/event-img2.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:06	306251/306251	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-4ac4b%22	http://demo.themefisher.com/iamabdus/eden/images/home/slider-img1.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/home/slider-img1.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:07	303519/303519	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-4a19f%22	http://demo.themefisher.com/iamabdus/eden/images/home/slider-img3.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/home/slider-img3.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:07	13045/13045	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-32f5%22	http://demo.themefisher.com/iamabdus/eden/images/footer/sliderImg1.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/footer/sliderImg1.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:08	14389/14389	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-3835%22	http://demo.themefisher.com/iamabdus/eden/images/footer/sliderImg2.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/footer/sliderImg2.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:08	48265/48265	---M--	200	added ('OK')	image/png	etag:%2259d4a160-bc89%22	http://demo.themefisher.com/iamabdus/eden/images/map.png	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/map.png	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:09	16591/16591	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-40cf%22	http://demo.themefisher.com/iamabdus/eden/images/footer/sliderImg3.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/footer/sliderImg3.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:12	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-9004%22	http://demo.themefisher.com/iamabdus/eden/plugins/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bootstrap/js/bootstrap.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:12	27483/27483	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-6b5b%22	http://demo.themefisher.com/iamabdus/eden/images/footer/sample-rm2.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/footer/sample-rm2.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:13	36145/36145	---M--	200	added ('OK')	image/jpeg	etag:%2259d4a160-8d31%22	http://demo.themefisher.com/iamabdus/eden/images/footer/sample-rm1.jpg	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/images/footer/sample-rm1.jpg	(from http://demo.themefisher.com/iamabdus/eden/)
13:15:13	19359/19359	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d4a160-4b9f%22	http://demo.themefisher.com/iamabdus/eden/plugins/bx-slider/jquery.bxslider.min.js	C:/My%20Web%20Sites/elmarfin/demo.themefisher.com/iamabdus/eden/plugins/bx-slider/jquery.bxslider.min.js	(from http://demo.themefisher.com/iamabdus/eden/)
